web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       |        18    0.000    0.000    0.000    0.000 websocket.py:368(_onMessageBegin)
web       |        18    0.000    0.000    0.000    0.000 websocket.py:371(_onMessageFrameBegin)
web       |        18    0.000    0.000    0.000    0.000 websocket.py:374(_onMessageFrameData)
web       |        18    0.000    0.000    0.000    0.000 websocket.py:377(_onMessageFrameEnd)
web       |        18    0.000    0.000    0.000    0.000 websocket.py:380(_onMessageFrame)
web       |        18    0.000    0.000    0.002    0.000 websocket.py:383(_onMessageEnd)
web       |        18    0.000    0.000    0.001    0.000 websocket.py:386(_onMessage)
web       |        16    0.000    0.000    0.000    0.000 websocket.py:392(_onPong)
web       |         1    0.000    0.000    0.000    0.000 websocket.py:395(_onClose)
web       |         1    0.000    0.000    0.000    0.000 websocket.py:409(unregisterProducer)
web       |        18    0.000    0.000    0.001    0.000 ws_protocol.py:142(onMessage)
web       |         1    0.000    0.000    0.000    0.000 ws_protocol.py:158(onClose)
web       |       858    0.004    0.000    0.141    0.000 ws_protocol.py:181(handle_reply)
web       |       857    0.003    0.000    0.136    0.000 ws_protocol.py:246(serverSend)
web       |         1    0.000    0.000    0.000    0.000 ws_protocol.py:258(serverClose)
web       |       232    0.000    0.000    0.000    0.000 ws_protocol.py:267(duration)
web       |       232    0.001    0.000    0.004    0.000 ws_protocol.py:273(check_timeouts)
web       |      1724    0.001    0.000    0.002    0.000 ws_protocol.py:293(__hash__)
web       |        34    0.000    0.000    0.000    0.000 xormasker.py:121(create_xor_masker)
web       |         1    0.000    0.000    0.000    0.000 xormasker.py:56(__init__)
web       |         2    0.000    0.000    0.000    0.000 xormasker.py:59(pointer)
web       |        34    0.000    0.000    0.000    0.000 xormasker.py:73(__init__)
web       |        68    0.000    0.000    0.000    0.000 xormasker.py:78(pointer)
web       |        34    0.000    0.000    0.000    0.000 xormasker.py:84(process)
web       |      1742    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x7f813ade4d80}
web       |        54    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
web       |       5/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
web       |         1    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_event_loop}
web       |      5218    0.014    0.000    0.014    0.000 {built-in method _asyncio.get_running_loop}
web       |      6254    0.007    0.000    0.007    0.000 {built-in method _contextvars.copy_context}
web       |      5523    0.009    0.000    0.011    0.000 {built-in method _heapq.heappop}
web       |      5518    0.009    0.000    0.017    0.000 {built-in method _heapq.heappush}
web       |        34    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
web       |        32    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
web       |         2    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
web       |         1    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
web       |        13    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
web       |         1    0.000    0.000    0.000    0.000 {built-in method builtins.any}
web       |       194    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
web       |      1725    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
web       |         9    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
web       |      1728    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
web       |      1728    0.001    0.000    0.001    0.000 {built-in method builtins.id}
web       |     33899    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
web       |         1    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
web       |        12    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
web       |     58677    0.022    0.000    0.022    0.000 {built-in method builtins.len}
web       |     17037    0.022    0.000    0.022    0.000 {built-in method builtins.max}
web       |      6067    0.007    0.000    0.007    0.000 {built-in method builtins.min}
web       |        15    0.002    0.000    0.002    0.000 {built-in method builtins.print}
web       |        23    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
web       |         1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
web       |        56    0.000    0.000    0.000    0.000 {built-in method from_bytes}
web       |        13    0.000    0.000    0.000    0.000 {built-in method math.atan2}
web       |     10871    0.011    0.000    0.011    0.000 {built-in method math.ceil}
web       |        13    0.000    0.000    0.000    0.000 {built-in method math.cos}
web       |         3    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
web       |         3    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
web       |        16    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
web       |         1    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
web       |        59    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
web       |     22228    0.013    0.000    0.013    0.000 {built-in method time.monotonic}
web       |        32    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
web       |      6359    0.003    0.000    0.003    0.000 {built-in method time.time}
web       |        23    0.000    0.000    0.000    0.000 {function CaseInsensitiveDict.__contains__ at 0x7f81357510d0}
web       |        11    0.000    0.000    0.000    0.000 {function CaseInsensitiveDict.__getitem__ at 0x7f81357519d0}
web       |         1    0.000    0.000    0.000    0.000 {function socket.close at 0x7f813a446d30}
web       |         2    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
web       |        26    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Task' objects}
web       |     11485    0.005    0.000    0.005    0.000 {method 'append' of 'collections.deque' objects}
web       |     17571    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
web       |        23    0.000    0.000    0.000    0.000 {method 'cancel' of '_asyncio.Task' objects}
web       |      5183    0.002    0.000    0.002    0.000 {method 'cancelled' of '_asyncio.Future' objects}
web       |        22    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
web       |       905    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
web       |        19    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Future' objects}
web       |       476    0.000    0.000    0.000    0.000 {method 'done' of '_asyncio.Task' objects}
web       |       205    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
web       |        24    0.000    0.000    0.000    0.000 {method 'endswith' of 'bytes' objects}
web       |        22    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
web       |        18    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
web       |      2648    0.001    0.000    0.001    0.000 {method 'fileno' of '_socket.socket' objects}
web       |        22    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
web       |        22    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
web       |      2731    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
web       |      5294    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'get_loop' of '_asyncio.Future' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
web       |      5221    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
web       |      1933    0.002    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
web       |      4554    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
web       |      1781    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
web       |      1742    0.009    0.000    0.009    0.000 {method 'modify' of 'select.epoll' objects}
web       |     10955   57.510    0.005   57.510    0.005 {method 'poll' of 'select.epoll' objects}
web       |       874    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
web       |       983    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
web       |     11486    0.002    0.000    0.002    0.000 {method 'popleft' of 'collections.deque' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BytesIO' objects}
web       |        58    0.001    0.000    0.001    0.000 {method 'recv' of '_socket.socket' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
web       |        16    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
web       |        23    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'remove_done_callback' of '_asyncio.Task' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'result' of '_asyncio.Task' objects}
web       |         3    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
web       |     11438    0.044    0.000    0.942    0.000 {method 'run' of 'Context' objects}
web       |         9    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BytesIO' objects}
web       |       893    0.061    0.000    0.061    0.000 {method 'send' of '_socket.socket' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
web       |      5202    0.029    0.000    0.101    0.000 {method 'set_result' of '_asyncio.Future' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'shutdown' of '_socket.socket' objects}
web       |        23    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
web       |       911    0.001    0.000    0.001    0.000 {method 'split' of 'str' objects}
web       |         2    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
web       |         5    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BytesIO' objects}
web       |      2249    0.001    0.000    0.001    0.000 {method 'to_bytes' of 'int' objects}
web       |        34    0.000    0.000    0.000    0.000 {method 'tobytes' of 'array.array' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'truncate' of '_io.BytesIO' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'unregister' of 'select.epoll' objects}
web       |       906    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
web       |        34    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BytesIO' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
web       |         1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
