web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       |         1    0.000    0.000    0.000    0.000 base.py:127(can_read)
web       |         9    0.000    0.000    0.000    0.000 base.py:131(cancel)
web       |       861    0.001    0.000    0.002    0.000 base.py:139(is_empty)
web       |        22    0.000    0.000    0.000    0.000 base.py:161(_clear)
web       |       861    0.000    0.000    0.000    0.000 base.py:165(_get_session_key)
web       |        44    0.000    0.000    0.001    0.000 base.py:178(can_read_destructive)
web       |       157    0.000    0.000    0.000    0.000 base.py:194(activate_delay)
web       |        44    0.000    0.000    0.001    0.000 base.py:209(_readline)
web       |      1111    0.001    0.000    0.001    0.000 base.py:218(__lt__)
web       |       157    0.001    0.000    0.001    0.000 base.py:87(__init__)
web       |       157    0.001    0.000    0.002    0.000 base.py:961(callLater)
web       |       927    0.001    0.000    0.002    0.000 base_events.py:1812(_add_callback)
web       |      5361    0.002    0.000    0.002    0.000 base_events.py:1825(_timer_handle_cancelled)
web       |     10955    0.246    0.000   58.922    0.005 base_events.py:1830(_run_once)
web       |     22938    0.008    0.000    0.008    0.000 base_events.py:1923(get_debug)
web       |      5223    0.020    0.000    0.022    0.000 base_events.py:427(create_future)
web       |         1    0.000    0.000    0.000    0.000 base_events.py:431(create_task)
web       |     11482    0.006    0.000    0.006    0.000 base_events.py:513(_check_closed)
web       |       872    0.000    0.000    0.000    0.000 base_events.py:680(is_closed)
web       |     22228    0.025    0.000    0.039    0.000 base_events.py:694(time)
web       |      5162    0.024    0.000    0.104    0.000 base_events.py:703(call_later)
web       |      5361    0.023    0.000    0.078    0.000 base_events.py:725(call_at)
web       |      5249    0.016    0.000    0.073    0.000 base_events.py:741(call_soon)
web       |      5249    0.026    0.000    0.053    0.000 base_events.py:770(_call_soon)
web       |         3    0.000    0.000    0.000    0.000 base_futures.py:14(isfuture)
web       |        22    0.000    0.000    0.000    0.000 client.py:345(initialize)
web       |         1    0.000    0.000    0.000    0.000 client.py:508(_send_command_parse_response)
web       |         1    0.000    0.000    0.000    0.000 client.py:529(execute_command)
web       |         1    0.000    0.000    0.000    0.000 client.py:537(<lambda>)
web       |         1    0.000    0.000    0.000    0.000 client.py:546(parse_response)
web       |        23    0.000    0.000    0.000    0.000 client.py:57(__contains__)
web       |        44    0.000    0.000    0.005    0.000 client.py:575(_send_command_parse_response)
web       |        66    0.000    0.000    0.007    0.000 client.py:596(execute_command)
web       |        22    0.000    0.000    0.000    0.000 client.py:607(<lambda>)
web       |        44    0.000    0.000    0.002    0.000 client.py:618(parse_response)
web       |        11    0.000    0.000    0.000    0.000 client.py:63(__getitem__)
web       |       871    0.001    0.000    0.001    0.000 compat.py:422(lazyByteSlice)
web       |         2    0.000    0.000    0.000    0.000 connection.py:1027(_checkpid)
web       |        44    0.000    0.000    0.001    0.000 connection.py:1029(get_connection)
web       |        44    0.000    0.000    0.001    0.000 connection.py:1060(ensure_connection)
web       |         1    0.000    0.000    0.000    0.000 connection.py:1074(get_connection)
web       |        22    0.000    0.000    0.000    0.000 connection.py:1076(release)
web       |         1    0.000    0.000    0.000    0.000 connection.py:1123(release)
web       |         1    0.000    0.000    0.000    0.000 connection.py:1144(owns_connection)
web       |        44    0.000    0.000    0.000    0.000 connection.py:215(is_connected)
web       |        22    0.000    0.000    0.000    0.000 connection.py:238(connect)
web       |         1    0.000    0.000    0.000    0.000 connection.py:259(connect)
web       |        22    0.000    0.000    0.000    0.000 connection.py:411(check_health)
web       |        22    0.000    0.000    0.002    0.000 connection.py:423(send_packed_command)
web       |         1    0.000    0.000    0.000    0.000 connection.py:426(check_health)
web       |         1    0.000    0.000    0.000    0.000 connection.py:431(send_packed_command)
web       |         1    0.000    0.000    0.000    0.000 connection.py:462(send_command)
web       |        22    0.000    0.000    0.003    0.000 connection.py:464(send_command)
web       |         1    0.000    0.000    0.000    0.000 connection.py:469(can_read)
web       |        44    0.000    0.000    0.001    0.000 connection.py:470(can_read_destructive)
web       |        44    0.000    0.000    0.001    0.000 connection.py:479(read_response)
web       |         1    0.000    0.000    0.000    0.000 connection.py:483(read_response)
web       |        22    0.000    0.000    0.001    0.000 connection.py:541(pack_command)
web       |         2    0.000    0.000    0.000    0.000 connection.py:630(_host_error)
web       |        22    0.000    0.000    0.000    0.000 connection.py:671(_host_error)
web       |         1    0.000    0.000    0.000    0.000 connection.py:80(pack)
web       |         1    0.000    0.000    0.000    0.000 consumer.py:12(get_handler_name)
web       |         1    0.000    0.000    0.000    0.000 consumer.py:37(__call__)
web       |         1    0.000    0.000    0.000    0.000 consumer.py:67(dispatch)
web       |         1    0.000    0.000    0.000    0.000 consumer.py:92(app)
web       |         1    0.000    0.000    0.000    0.000 consumers.py:151(cancel_search)
web       |         1    0.000    0.000    0.000    0.000 consumers.py:156(is_refusing_match)
web       |         1    0.000    0.000    0.000    0.000 consumers.py:78(receive)
web       |         1    0.000    0.000    0.000    0.000 consumers.py:85(handle_matchmaking)
web       |      1810    0.002    0.000    0.002    0.000 context.py:109(currentContext)
web       |       905    0.002    0.000    0.137    0.000 context.py:116(callWithContext)
web       |       905    0.002    0.000    0.006    0.000 context.py:119(getContext)
web       |       905    0.003    0.000    0.135    0.000 context.py:62(callWithContext)
web       |       905    0.002    0.000    0.002    0.000 context.py:86(getContext)
web       |        11    0.000    0.000    0.000    0.000 core.py:219(_backup_channel_name)
web       |        33    0.000    0.000    0.003    0.000 core.py:225(_brpop_with_clean)
web       |        22    0.000    0.000    0.003    0.000 core.py:264(receive)
web       |        22    0.000    0.000    0.003    0.000 core.py:388(receive_single)
web       |        11    0.000    0.000    0.000    0.000 core.py:4345(bzpopmin)
web       |         1    0.000    0.000    0.000    0.000 core.py:4733(zrem)
web       |        11    0.000    0.000    0.000    0.000 core.py:5254(_eval)
web       |        11    0.000    0.000    0.000    0.000 core.py:5259(eval)
web       |        11    0.000    0.000    0.000    0.000 core.py:699(connection)
web       |        11    0.000    0.000    0.000    0.000 core.py:84(get_connection)
web       |         6    0.000    0.000    0.000    0.000 coroutines.py:177(iscoroutine)
web       |         1    0.000    0.000    0.000    0.000 decoder.py:332(decode)
web       |         1    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
web       |        18    0.000    0.000    0.000    0.000 defer.py:249(passthru)
web       |        18    0.000    0.000    0.000    0.000 defer.py:439(__init__)
web       |        18    0.000    0.000    0.000    0.000 defer.py:471(addCallbacks)
web       |        18    0.000    0.000    0.000    0.000 defer.py:649(addErrback)
web       |        19    0.000    0.000    0.000    0.000 defer.py:850(callback)
web       |        19    0.000    0.000    0.000    0.000 defer.py:959(_startRunCallbacks)
web       |        37    0.000    0.000    0.000    0.000 defer.py:992(_runCallbacks)
web       |         1    0.000    0.000    0.000    0.000 deprecate.py:399(__init__)
web       |         3    0.000    0.000    0.000    0.000 deprecate.py:402(__getattribute__)
web       |         1    0.000    0.000    0.000    0.000 deprecate.py:405(__setattr__)
web       |         1    0.000    0.000    0.000    0.000 deprecate.py:459(__getattribute__)
web       |        91    0.000    0.000    0.000    0.000 encoders.py:14(encode)
web       |         1    0.000    0.000    0.000    0.000 error.py:224(__str__)
web       |      5361    0.013    0.000    0.035    0.000 events.py:103(__init__)
web       |      5484    0.006    0.000    0.008    0.000 events.py:120(__lt__)
web       |      5361    0.029    0.000    0.044    0.000 events.py:148(cancel)
web       |     11481    0.040    0.000    0.051    0.000 events.py:31(__init__)
web       |      6233    0.013    0.000    0.015    0.000 events.py:64(cancel)
web       |     11438    0.040    0.000    0.982    0.000 events.py:78(_run)
web       |         1    0.000    0.000    0.000    0.000 failure.py:484(check)
web       |         1    0.000    0.000    0.000    0.000 failure.py:587(__str__)
web       |         1    0.000    0.000    0.000    0.000 failure.py:664(getBriefTraceback)
web       |         1    0.000    0.000    0.000    0.000 failure.py:676(printTraceback)
web       |         1    0.000    0.000    0.000    0.000 failure.py:745(printBriefTraceback)
web       |      1722    0.002    0.000    0.005    0.000 functional.py:264(inner)
web       |      3445    0.007    0.000    0.007    0.000 functional.py:291(__getattribute__)
web       |         2    0.000    0.000    0.000    0.000 futures.py:296(_get_loop)
web       |      5161    0.013    0.000    0.116    0.000 futures.py:308(_set_result_unless_cancelled)
web       |         1    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
web       |        18    0.000    0.000    0.004    0.000 handlers.py:94(__call__)
web       |        11    0.000    0.000    0.000    0.000 helpers.py:10(list_or_args)
web       |        11    0.000    0.000    0.000    0.000 helpers.py:781(<lambda>)
web       |        59    0.001    0.000    0.001    0.000 http.py:307(datetimeToLogString)
web       |        59    0.000    0.000    0.003    0.000 http.py:3241(_updateLogDateTime)
web       |         4    0.000    0.000    0.000    0.000 http_protocol.py:361(__hash__)
web       |       911    0.001    0.000    0.001    0.000 inspect.py:159(isfunction)
web       |        11    0.000    0.000    0.000    0.000 inspect.py:230(isawaitable)
web       |       912    0.001    0.000    0.001    0.000 inspect.py:73(isclass)
web       |       911    0.001    0.000    0.001    0.000 inspect.py:81(ismethod)
web       |        19    0.000    0.000    0.000    0.000 locks.py:207(clear)
web       |         1    0.000    0.000    0.000    0.000 log.py:167(filter)
web       |       905    0.004    0.000    0.148    0.000 log.py:77(callWithContext)
web       |       905    0.003    0.000    0.152    0.000 log.py:83(callWithLogger)
web       |        18    0.000    0.000    0.004    0.000 middleware.py:16(__call__)
web       |        18    0.000    0.000    0.004    0.000 middleware.py:19(__call__)
web       |        13    0.000    0.000    0.002    0.000 pong.py:100(ball_hit)
web       |        17    0.000    0.000    0.002    0.000 pong.py:109(receive)
web       |        17    0.000    0.000    0.003    0.000 pong.py:111(wsapp)
web       |      5162    0.031    0.000    0.043    0.000 pong.py:140(get_countdown)
web       |      5162    0.069    0.000    0.115    0.000 pong.py:147(update)
web       |         1    0.000    0.000    0.000    0.000 pong.py:175(end_game)
web       |        18    0.000    0.000    0.002    0.000 pong.py:195(get_event)
web       |      5162    0.008    0.000    0.009    0.000 pong.py:55(player_count)
web       |         1    0.000    0.000    0.000    0.000 pong.py:57(disconnect)
web       |         1    0.000    0.000    0.000    0.000 pong.py:58(start_game)
web       |      5162    0.067    0.000    0.594    0.000 pong.py:80(gameloop)
web       |        13    0.000    0.000    0.002    0.000 pong.py:94(calculate_distance)
web       |         3    0.000    0.000    0.000    0.000 posixbase.py:617(isReading)
web       |       873    0.000    0.000    0.000    0.000 posixbase.py:630(isWriting)
web       |         1    0.000    0.000    0.001    0.001 posixbase.py:83(_disconnectSelectable)
